sentence,payment_label
All Legal process in claiming and delivery your winnings will be treated by our claim agent once contacted by you.,1.0
Having known my condition I decided to chose you has my project,0.0
"Placed on Tuesday, July 10, 2018",0.0
"Hi Rebecca, that sounds great!",0.0
"If you have any questions, reply to this email or contact us at",0.0
Tue 06 Feb 2018 5:37 PM,0.0
Who are ready to fund projects outside United Kingdom in the form of debt?,1.0
"Thursday, February 25, 2016 at 09:51",0.0
"A merchant may ask for your Employee ID, which is 6086.",0.0
"In appreciate of your assistance I have mapped out as a compensation and wrote on your favor a Draft worth of US$5,000,000.00.(Five Million United States Dollars Only) I left the Draft with my attorney Sir.",1.0
admin expenses by COB today,0.0
I can also re-send these account credentials to the address on file for the Landlord.,0.0
Click here to visit your student portal.,0.0
Create your online account now,0.0
I’m interested in pursuing our conversation and have some thoughts about the future.,0.0
Main Line: (866) 202-2342 opt.,0.0
"If you have previously created an account, use the login information previously established to log back in and complete this evaluation.",0.0
Please read our full,0.0
Please do not reply to this message.,0.0
"Upon receipt of your reply, I will send to you by fax or email the text of the application. I will not fail to bring to your notice that this transaction is hitch free and that you should not entertain any atom of fear as all required arrangements have been made for the transfer..",1.0
"Following the petition i received from United Nations Human Rights Commissions (UNHRC) and the International Arbitration panel over a compensation of advance fee fraud and scam victims in Asia, Europe and Africa.",0.0
Thanks so much for your help!!,0.0
"Sincerely, Your Logix Service Assurance Team",0.0
I seek your collaboration for the fund to be donated to charity and less privileges.,1.0
Contact person Barr Faso Kummar,0.0
"Whenever convenient, could you please let me know how much sick leave I currently have?",0.0
I will give you more information in next few hours,0.0
For more information please visit,0.0
"I made a video showing how you satisfy yourself in the left half of the screen, and in the right half you see the video that you watched.With one click of the mouse, I can send this video to all your emails and contacts on social networks.",0.0
"To date, the check has not cleared the bank so I am checking to see why not.",1.0
"Fraud would indicate that ""wrongful or criminal deception intended to result in financial or personal gain""",1.0
suppose to go out in the previous week,0.0
"and telling you that your fund is with them, it is not in anyway with",1.0
"5065 Westheimer Rd.,Suite 1000",0.0
"Our company HYST group Int'l Trading Inc a china based steel tube company is in search for representatives in different parts of the world for representatives who can help us Establish a medium of getting to our customers in same countries, as well as making payments through you to us.",1.0
Remember that we provide:,0.0
Your login information is as follows:,0.0
emerged as one of the online Winning emails in the 1st category and,0.0
Track your shipment to see the delivery status.,0.0
USAA # ending in:5364,0.0
Do you have a fork lift on site to unload off the semi?,0.0
This is duе tо а sеrvеr еrrоr оn yоur sjpdonlinereports@sanjoseca.gov,0.0
Thank you for your payment.,1.0
Kindly let us know if we can expect a corrected report confirmation.,0.0
Your order will be sent to:,0.0
I’m wondering if your going to be back soon I’ll just wait for your return.,0.0
have to contact the FEDEX COURIER SERVICE now for the delivery of your,0.0
I Will Give You Details on How the Business Will Be Executed.,0.0
I 've been locked out of my work email and we need to pay an invoice ASAP,1.0
Please tell us about your recent shopping experience:,0.0
"Thursday, November 14, 2019 9:20 AM",0.0
Contact my Attorney in Dubai - UAE so that he can release your Draft to you.,0.0
Thanks for shopping with us.,0.0
Is there a format I would follow or am I on my own?,0.0
next year along with seat count and features purchased,0.0
I will need to complete the report and submit to UNSCC by months end for all expenditures with receipts.,1.0
online Sweepstakes International program held on,0.0
I need you to make a same day UK payment for me,1.0
"street in violation of SJMC 11.36.220, impacting the neighborhood parking",0.0
